street address,town,zip,road side,private side
671 ACORN DRIVE,Niskayuna,12309,Copper,Copper
675 ACORN DRIVE,Niskayuna,12309,Copper,Copper
679 ACORN DRIVE,Niskayuna,12309,Copper,Copper
683 ACORN DRIVE,Niskayuna,12309,Copper,Copper
684 ACORN DRIVE,Niskayuna,12309,Copper,Copper
687 ACORN DRIVE,Niskayuna,12309,Copper,Copper
200 AGOSTINO AVENUE,Niskayuna,12309,Copper,Copper
204 AGOSTINO AVENUE,Niskayuna,12309,Copper,Copper
208 AGOSTINO AVENUE,Niskayuna,12309,Copper,Copper
209 AGOSTINO AVENUE,Niskayuna,12309,Copper,Copper
212 AGOSTINO AVENUE,Niskayuna,12309,Copper,Copper
213 AGOSTINO AVENUE,Niskayuna,12309,Copper,Copper
217 AGOSTINO AVENUE,Niskayuna,12309,Copper,Copper
221 AGOSTINO AVENUE,Niskayuna,12309,Copper,Copper
225 AGOSTINO AVENUE,Niskayuna,12309,Copper,Copper
44 ALANDALE AVE NO,Niskayuna,12304,Unknown,Copper
46 ALANDALE AVE NO,Niskayuna,12304,Unknown,Unknown
53 ALANDALE AVE NO,Niskayuna,12304,Unknown,Unknown
54 ALANDALE AVE NO,Niskayuna,12304,Unknown,Unknown
57 ALANDALE AVE NO,Niskayuna,12304,Unknown,Copper
62 ALANDALE AVE NO,Niskayuna,12304,Unknown,Unknown
65 ALANDALE AVE NO,Niskayuna,12304,Unknown,Unknown
69 ALANDALE AVE NO,Niskayuna,12304,Copper,Copper
201 ALANDALE AVE NO,Niskayuna,12304,Unknown,Unknown
202 ALANDALE AVE NO,Niskayuna,12304,Unknown,Unknown
205 ALANDALE AVE NO,Niskayuna,12304,Unknown,Unknown
209 ALANDALE AVE NO,Niskayuna,12304,Unknown,Unknown
210 ALANDALE AVE NO,Niskayuna,12304,Unknown,Copper
214 ALANDALE AVE NO,Niskayuna,12304,Unknown,Unknown
218 ALANDALE AVE NO,Niskayuna,12304,Unknown,Copper
221 ALANDALE AVE NO,Niskayuna,12304,Unknown,Copper
229 ALANDALE AVE NO,Niskayuna,12304,Unknown,Unknown
230 ALANDALE AVE NO,Niskayuna,12304,Unknown,Unknown
233 ALANDALE AVE NO,Niskayuna,12304,Unknown,Unknown
234 ALANDALE AVE NO,Niskayuna,12304,Copper,Copper
235 ALANDALE AVE NO,Niskayuna,12304,Copper,Copper
237 ALANDALE AVE NO,Niskayuna,12304,Copper,Copper
238 ALANDALE AVE NO,Niskayuna,12304,Copper,Copper
239 ALANDALE AVE NO,Niskayuna,12304,Copper,Copper
241 ALANDALE AVE NO,Niskayuna,12304,Copper,Copper
242 ALANDALE AVE NO,Niskayuna,12304,Copper,Copper
243 ALANDALE AVE NO,Niskayuna,12304,Copper,Copper
245 ALANDALE AVE NO,Niskayuna,12304,Copper,Copper
246 ALANDALE AVE NO,Niskayuna,12304,Copper,Copper
247 ALANDALE AVE NO,Niskayuna,12304,Copper,Copper
248 ALANDALE AVE NO,Niskayuna,12304,Copper,Copper
